ccaa;year;tasa_actividad_juvenil_16_25
Navarra, Comunidad Foral De;2018;35,495
Navarra, Comunidad Foral De;2019;30,455
Navarra, Comunidad Foral De;2020;28,15
Navarra, Comunidad Foral De;2021;33,5025
Navarra, Comunidad Foral De;2022;34,355
Navarra, Comunidad Foral De;2023;34,67
País Vasco;2010;38,8075
País Vasco;2011;40,0525
País Vasco;2012;36,8975
País Vasco;2013;33,605
País Vasco;2014;29,3175
País Vasco;2015;30,6425
País Vasco;2016;30,09
País Vasco;2017;31,28
País Vasco;2018;32,585
País Vasco;2019;32,0875
País Vasco;2020;27,6825
País Vasco;2021;34,33
País Vasco;2022;33,9975
País Vasco;2023;34,9025
Rioja, La;2010;37,3975
Rioja, La;2011;41,6975
Rioja, La;2012;40,8675
Rioja, La;2013;36,0725
Rioja, La;2014;40,295
Rioja, La;2015;34,6775
Rioja, La;2016;31,9025
Rioja, La;2017;34,31
Rioja, La;2018;33,6025
Rioja, La;2019;36,7775
Rioja, La;2020;34,4475
Rioja, La;2021;36,8325
Rioja, La;2022;34,395
Rioja, La;2023;33,91
