ccaa;year;agricultura_pct;industria_pct;construccion_pct;servicios_pct
Cataluña;2019;1,5;18,075;5,65;74,775
Cataluña;2020;1,4;17,6;5,975;75
Cataluña;2021;1,625;16,85;6,425;75,15
Cataluña;2022;1,575;17,175;6,4;74,85
Cataluña;2023;1,35;16,8;6,1;75,725
Comunitat Valenciana;2010;2,825;16,5;9,125;71,5
Comunitat Valenciana;2011;2,975;17,55;7,6;71,85
Comunitat Valenciana;2012;3,475;17,35;6,8;72,425
Comunitat Valenciana;2013;3,35;16,825;5,925;73,875
Comunitat Valenciana;2014;3;16,6;5,65;74,7
Comunitat Valenciana;2015;3,65;17,55;6,1;72,7
Comunitat Valenciana;2016;2,8;16,525;5,975;74,7
Comunitat Valenciana;2017;2,875;18,6;6,25;72,275
Comunitat Valenciana;2018;2,975;17,15;6,4;73,5
Comunitat Valenciana;2019;3,1;17,575;6,475;72,85
Comunitat Valenciana;2020;2,45;17,6;6,275;73,65
Comunitat Valenciana;2021;2,525;16,9;6,625;73,925
Comunitat Valenciana;2022;2,675;16,8;6,925;73,6
Comunitat Valenciana;2023;2,2;15,875;7,45;74,475
Extremadura;2010;10;10,25;11,05;68,7
Extremadura;2011;9,725;10,5;9,95;69,825
Extremadura;2012;11,175;11,35;8,55;68,875
Extremadura;2013;10,15;10,675;6,875;72,3
Extremadura;2014;10,85;10,85;6,975;71,325
Extremadura;2015;10,725;10,275;8,125;70,875
Extremadura;2016;9,95;10,325;7,625;72,1
Extremadura;2017;12,4;9,3;6,35;72
Extremadura;2018;13,6;8,75;5,75;71,9
Extremadura;2019;12,4;10,85;6,225;70,5
Extremadura;2020;10,675;10,625;6,975;71,7
Extremadura;2021;10,55;10,825;7,675;70,925
Extremadura;2022;9,625;10,55;7,225;72,6
Extremadura;2023;9,2;11,125;6,775;72,95
Galicia;2010;8;15,625;9,475;66,875
Galicia;2011;7,675;16,175;8,4;67,725
Galicia;2012;7,6;15,75;7,575;69,1
Galicia;2013;7,4;15,225;6,875;70,475
Galicia;2014;6,625;15,4;6,725;71,225
Galicia;2015;6,275;15,675;7,25;70,825
Galicia;2016;6,85;15,575;6,925;70,7
Galicia;2017;7,15;16,25;6,325;70,275
Galicia;2018;6,3;15,675;6,275;71,75
Galicia;2019;6,1;16,35;6,4;71,125
Galicia;2020;6,425;16,975;7;69,6
Galicia;2021;6,3;15,725;6,975;71
Galicia;2022;6,3;15,025;6,975;71,675
Galicia;2023;6,575;14,9;6,85;71,65
Madrid, Comunidad De;2010;0,25;9,225;6,875;83,675
Madrid, Comunidad De;2011;0,2;9,5;6,1;84,225
Madrid, Comunidad De;2012;0,275;9,6;4,925;85,175
Madrid, Comunidad De;2013;0,425;9,275;5,05;85,3
Madrid, Comunidad De;2014;0,45;8,925;4,95;85,65
Madrid, Comunidad De;2015;0,2;9,1;5,45;85,25
Madrid, Comunidad De;2016;0,25;8,25;4,875;86,625
Madrid, Comunidad De;2017;0,15;8,85;5,075;85,925
Madrid, Comunidad De;2018;0,225;8,575;5,875;85,35
Madrid, Comunidad De;2019;0,2;8,925;6,325;84,5
Madrid, Comunidad De;2020;0,1;8,775;6,25;84,925
Madrid, Comunidad De;2021;0,175;8,7;5,9;85,225
Madrid, Comunidad De;2022;0,35;9,325;5,65;84,675
Madrid, Comunidad De;2023;0,4;9,15;5,95;84,475
Murcia, Región De;2010;12,475;12,4;9,9;65,275
Murcia, Región De;2011;12,95;12,75;7,65;66,6
Murcia, Región De;2012;12,4;13,425;6,375;67,8
Murcia, Región De;2013;13,225;13,225;5,45;68,125
Murcia, Región De;2014;13,125;13,05;5,2;68,65
Murcia, Región De;2015;12,825;12,8;5,25;69,15
Murcia, Región De;2016;13,625;12,975;4,8;68,6
Murcia, Región De;2017;13,875;12,4;5,775;67,95
Murcia, Región De;2018;13,425;13,325;6,05;67,175
Murcia, Región De;2019;12,2;13,825;7,05;66,975
Murcia, Región De;2020;12,025;13,725;6,35;67,85
Murcia, Región De;2021;11,225;13,4;6,55;68,825
Murcia, Región De;2022;11,5;12,775;5,925;69,825
Murcia, Región De;2023;11,225;11,3;6,575;70,95
