ccaa;year;pib_per_capita
Rioja, La;2012;23961
Rioja, La;2013;23898
Rioja, La;2014;24586
Rioja, La;2015;25594
Rioja, La;2016;25713
Rioja, La;2017;26585
Rioja, La;2018;27470
Rioja, La;2019;28040
Rioja, La;2020;25654
Rioja, La;2021;27365
Rioja, La;2022;30260
Rioja, La;2023;32828
