ccaa;year;coste_laboral_medio
Navarra, Comunidad Foral De;2010;2650,5325
Navarra, Comunidad Foral De;2011;2685,1475
Navarra, Comunidad Foral De;2012;2646,495
Navarra, Comunidad Foral De;2013;2639,19
Navarra, Comunidad Foral De;2014;2674,995
Navarra, Comunidad Foral De;2015;2658,4625
Navarra, Comunidad Foral De;2016;2654,67
Navarra, Comunidad Foral De;2017;2749,4325
Navarra, Comunidad Foral De;2018;2807,4175
Navarra, Comunidad Foral De;2019;2862,4775
Navarra, Comunidad Foral De;2020;2869,6575
Navarra, Comunidad Foral De;2021;2937,885
Navarra, Comunidad Foral De;2022;3042,905
Navarra, Comunidad Foral De;2023;3240,075
País Vasco;2010;2934,5625
País Vasco;2011;2951,7075
País Vasco;2012;2971,285
País Vasco;2013;3022,1275
País Vasco;2014;2992,2925
País Vasco;2015;2975
País Vasco;2016;2948,1475
País Vasco;2017;2961,49
País Vasco;2018;3035,955
País Vasco;2019;3091,6525
País Vasco;2020;3057,75
País Vasco;2021;3206,895
País Vasco;2022;3293,1075
País Vasco;2023;3441,8675
Rioja, La;2010;2365,6275
Rioja, La;2011;2381,21
Rioja, La;2012;2354,48
Rioja, La;2013;2366,9125
Rioja, La;2014;2351,29
Rioja, La;2015;2397,275
Rioja, La;2016;2340,2625
Rioja, La;2017;2354,7225
Rioja, La;2018;2338,825
Rioja, La;2019;2400,1875
Rioja, La;2020;2331,8575
Rioja, La;2021;2439,05
Rioja, La;2022;2567,8325
Rioja, La;2023;2718,0625
